id,nazwa,dlugosc,szerokosc
906,Chrobrego / Czysta,21.15670,51.40650
907,Chrobrego / Czysta,21.15698,51.40662
908,Sołtyków / Skaryszewska,21.17106,51.34088
909,Sołtyków / Skaryszewska,21.17115,51.34129
910,Golędzin,20.97267,51.42016
911,Kilińskiego / Focha,21.15247,51.40257
929,Warszawska / Kusocińskiego,21.15430,51.41203
930,Warszawska / 11 Listopada,21.15365,51.41518
931,Witkacego / Sołtykowska (NŻ),21.16689,51.36317
932,Witkacego / Sołtykowska (NŻ),21.16679,51.36196
938,Stara Wola Gołębiowska II,21.21139,51.43404
940,Stara Wola Gołębiowska I,21.19962,51.43587
942,Idalińska / Wiertnicza,21.17818,51.37300
943,Idalińska / Wiertnicza,21.17863,51.37354
948,Mazowiecka / Laskowa,21.18449,51.37238
950,Sadków / Kościół (NŻ),21.21524,51.39923
951,Sadków / Kościół (NŻ),21.21531,51.39907
954,Maratońska / Dębowa,21.12332,51.39380
963,Limanowskiego / Maratońska,21.12846,51.38954
965,Szarych Szeregów / Warszawska (NŻ),21.15205,51.41397
967,Chrobrego / Kusocińskiego,21.15854,51.40974
968,Chrobrego / Kusocińskiego,21.15849,51.40945
971,Makowiec / Kościelna,21.21461,51.35212
974,Pileckiego / Kelles-Krauza,21.15712,51.40444
975,Pileckiego / Kelles-Krauza,21.15685,51.40462
976,Milejowice / Jaworowa,21.06541,51.42299
977,Milejowice / Jaworowa,21.06434,51.42347
978,Szarych Szeregów / Wernera,21.14303,51.41009
980,Mariacka / Sedlaka,21.14072,51.39723
981,Mariacka / Sedlaka,21.14104,51.39694
984,Kościuszki / Planty,21.15032,51.39487
985,Wernera / Malczewskiego,21.15050,51.40602
990,Słowackiego / Żeromskiego,21.15922,51.39989
993,Dworzec PKP,21.15455,51.39144
994,Mieszka I / Żółkiewskiego,21.16323,51.42565
995,Mieszka I / Królowej Jadwigi,21.16465,51.42903
1002,Mieszka I / Aleksandrowicza (NŻ),21.16541,51.43880
1003,Wyścigowa / Radomskiego,21.17024,51.37552
1004,Wyścigowa / Radomskiego,21.17087,51.37553
1007,Grzecznarowskiego / Świerkowa,21.17225,51.37971
1032,Sadków,21.23466,51.39746
1033,Sadków I (NŻ),21.22630,51.39656
1034,Sadków I (NŻ),21.22555,51.39666
1039,Średnia / Słowackiego,21.17045,51.39228
1040,Słowackiego / Średnia,21.16820,51.39248
1047,Mieszka I / Aleksandrowicza (NŻ),21.16581,51.43887
1048,Sadków II (NŻ),21.21865,51.39656
1049,Sadków II (NŻ),21.21780,51.39665
1051,Zwoleńska / Kochanowskiego (NŻ),21.17983,51.39651
1056,Kielecka / Arbiter (NŻ),21.07499,51.37334
1057,Kielecka / Arbiter (NŻ),21.07541,51.37350
1058,Rzeszowska / Idalińska,21.18005,51.37667
1059,Rzeszowska / Idalińska,21.18063,51.37683
1060,Janiszew,21.11631,51.43025
1061,Małęczyn Stary / Makowska,21.25325,51.37775
1065,Os. Prędocinek,21.16302,51.37287
1066,Os. Prędocinek,21.16312,51.37277
1070,Witkacego / Godowska,21.16537,51.36862
1071,Witkacego / Godowska,21.16508,51.36889
1072,Wiejska / Łanowa,21.15002,51.37068
1073,Wiejska / Łanowa,21.14993,51.37092
1077,Kończyce-Kolonia,21.06224,51.36426
1078,Kończyce-Kolonia,21.06417,51.36550
1081,Wólka Klwatecka / Mroza,21.13422,51.45095
1082,Starokrakowska / Kościół (NŻ),21.08909,51.36238
1083,Kilińskiego / Urząd Miejski,21.15598,51.40203
1092,Kasztelańska / Jagienki,21.13915,51.44851
1093,Kasztelańska / Jagienki,21.13861,51.44864
1094,Kasztelańska / Warszawska,21.14238,51.44739
1099,Godów,21.14772,51.36066
1100,Witkacego / Studzienna (NŻ),21.16630,51.36556
1101,Witkacego / Studzienna (NŻ),21.16641,51.36610
1102,Malczew,21.16459,51.35642
1108,Malenicka / Szkoła,21.19105,51.37664
1109,Malenicka / Szkoła,21.19025,51.37671
1116,Malenicka / Poziomkowa (NŻ),21.19794,51.37536
1117,Malenicka / Poziomkowa (NŻ),21.19763,51.37529
1118,Malenicka / Rzeckiego (NŻ),21.20240,51.37447
1119,Malenicka / Rzeckiego (NŻ),21.20380,51.37431
1122,Malenice,21.21403,51.37112
1123,Malenicka I,21.20740,51.37287
1124,Malenicka I,21.20715,51.37314
1129,Żelazna / RADPEC,21.10846,51.35747
1130,Warsztatowa / Rondo (NŻ),21.11838,51.35928
1132,Żelazna / RADPEC,21.10784,51.35751
1133,Warsztatowa / Rondo (NŻ),21.11984,51.36128
1134,Żelazna / Działki (NŻ),21.10368,51.35571
1135,Żelazna / Działki (NŻ),21.10304,51.35579
1141,Cerekiew / Cmentarz,21.06728,51.40541
1142,Cerekiew / Cmentarz,21.06894,51.40511
